ATIVO;SUBATIVO;PERIODICIDADE (DIAS);LUBRIFICANTE;QTD(G);TIPO;DESCRIÇÃO;ULTIMA (DATA);PRÓXIMA (DATA);ULTIMA (HORAS);PRÓXIMA (HORAS);TIMER (DIAS);STATUS
PULPER;MANCAL 2;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-13;2026-02-28;;360.0;10;🟢 No Prazo
PULPER;ROLETE DA ESTEIRA;15;VG 220;;ÓLEO;LUBRIFICAÇÃO;2026-02-13;2026-02-28;;360.0; ;🟢 No Prazo
PULPER;MOTOR DO PULPER;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-02-13;2026-02-28;;360.0; ;🟢 No Prazo
PULPER;BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;24.0; ;🟢 No Prazo
PULPER;MOTOR DA BOMBA;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-02-13;2026-02-28;;360.0; ;🟢 No Prazo
PULPER DE QUEBRA;MANCAL 1;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-10;2026-02-25;;360.0; ;🟢 No Prazo
PULPER DE QUEBRA;MANCAL 2;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-10;2026-02-25;;360.0; ;🟢 No Prazo
PULPER DE QUEBRA;MOTOR DO PULPER;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-02-10;2026-02-25;;360.0; ;🟢 No Prazo
DEPURADOR 1;ROLAMENTO SUPERIOR;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-09;2026-02-24;;360.0;-6;🟢 No Prazo
DEPURADOR 1;ROLAMENTO INFERIOR;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-09;2026-02-24;;360.0;-6;🟢 No Prazo
DEPURADOR 1;ROLAMENTO MOTOR D;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-01-12;2026-01-27;;360.0;-6;🔴 Vencida
DEPURADOR 1;ROLAMENTO MOTOR T;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-01-12;2026-01-27;;360.0;-6;🔴 Vencida
DEPURADOR 2 HR 18;ROLAMENTO SUPERIOR;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-09;2026-02-24;;360.0;-2;🟢 No Prazo
DEPURADOR 2 HR 18;ROLAMENTO INFERIOR;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-09;2026-02-24;;360.0;-2;🟢 No Prazo
DEPURADOR 2 HR 18;ROLAMENTO MOTOR D;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-01-16;2026-01-31;;360.0;-2;🔴 Vencida
DEPURADOR 2 HR 18;ROLAMENTO MOTOR T;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-01-16;2026-01-31;;360.0;-2;🔴 Vencida
DEPURADOR 2 HR 18;BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;24.0;-16;🟢 No Prazo
DEPURADOR 3 HR 24;ROLAMENTO SUPERIOR;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-09;2026-02-24;;360.0;-6;🟢 No Prazo
DEPURADOR 3 HR 24;ROLAMENTO INFERIOR;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-09;2026-02-24;;360.0;-6;🟢 No Prazo
DEPURADOR 3 HR 24;ROLAMENTO MOTOR D;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-01-12;2026-01-27;;360.0;-6;🔴 Vencida
DEPURADOR 3 HR 24;ROLAMENTO MOTOR T;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-01-12;2026-01-27;;360.0;-6;🔴 Vencida
DEPURADOR 3 HR 24;BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;24.0;-20;🟢 No Prazo
DEPURADOR 4 DPI;MANCAL SUPERIOR;15;MOBIL XHP 222;25.0;GRAXA;LUBRIFICAÇÃO;2026-02-09;2026-02-24;;360.0;-6;🟢 No Prazo
DEPURADOR 4 DPI;MANCAL INFERIOR;15;MOBIL XHP 222;25.0;GRAXA;LUBRIFICAÇÃO;2026-02-09;2026-02-24;;360.0;-6;🟢 No Prazo
DEPURADOR 4 DPI;SELO MECÂNICO;5;MOBIL XHP 222;10.0;GRAXA;LUBRIFICAÇÃO;2026-02-17;2026-02-22;;;;🟢 No Prazo
DEPURADOR 4 DPI;ROLAMENTO MOTOR D;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-01-12;2026-01-27;;360.0;-6;🔴 Vencida
DEPURADOR 4 DPI;ROLAMENTO MOTOR T;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-01-12;2026-01-27;;360.0;-6;🔴 Vencida
DEPURADOR 5;ROLAMENTO SUPERIOR;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-09;2026-02-24;;360.0;-6;🟢 No Prazo
DEPURADOR 5;ROLAMENTO INFERIOR;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-09;2026-02-24;;360.0;-6;🟢 No Prazo
DEPURADOR 5;ROLAMENTO MOTOR D;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-01-12;2026-01-27;;360.0;-6;🔴 Vencida
DEPURADOR 5;ROLAMENTO MOTOR T;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-01-12;2026-01-27;;360.0;-6;🔴 Vencida
HD BOMBA DE ALUTRIAÇÃO;BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;1.0; ;🟢 No Prazo
BOMBA DE VACUO 1;BOMBA;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-11;2026-02-26;;360.0;10;🟢 No Prazo
BOMBA DE VACUO 2;BOMBA;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-11;2026-02-26;;360.0;10;🟢 No Prazo
BOMBA DE VACUO 3;BOMBA;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-11;2026-02-26;;360.0;10;🟢 No Prazo
BOMBA DE VACUO 4;BOMBA;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-11;2026-02-26;;360.0;10;🟢 No Prazo
BOMBA CENTRIFUGA 1° ESTÁGIO;BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;1.0; ;🟢 No Prazo
BOMBA DE ÁGUA DOS DEPURADORES;BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;1.0; ;🟢 No Prazo
BOMBA DE ÁGUA SILO PRETO;BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;1.0; ;🟢 No Prazo
BOMBA DE MASSA (CONSISTÊNCIA);BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;1.0; ;🟢 No Prazo
BOMBA DE MASSA (REFINADOR);BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;1.0; ;🟢 No Prazo
BOMBA DE ÁGUA (CANALETA);BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;1.0; ;🟢 No Prazo
BOMBA DE REJEITOS;BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;1.0; ;🟢 No Prazo
BOMBA DE MASSA (MISTURA);BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;1.0; ;🟢 No Prazo
BOMBA DE ÁGUA (SELAGEM B. VACUO);BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;1.0; ;🟢 No Prazo
BOMBA TANQUE PK;BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;1.0; ;🟢 No Prazo
BOMBA DE ÁGUA (WIREPIT);BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;1.0;-10;🟢 No Prazo
BOMBA DE MASSA (COUCHPIT);BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;1.0; ;🟢 No Prazo
BOMBA DOS CLEANERS;BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;1.0; ;🟢 No Prazo
CALDEIRA;ESTEIRA;180;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-01-19;2026-07-18;;4320.0;166;🟢 No Prazo
CALDEIRA;VENTILADOR DE TIRAGEM ROTOR;30;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-18;2026-03-20;;720.0;16;🟢 No Prazo
CALDEIRA;VENTILADOR DE TIRAGEM DAMPER;30;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-18;2026-03-20;;720.0;16;🟢 No Prazo
CALDEIRA;VENTILADOR AR PRIMÁRIO ROTOR;30;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-18;2026-03-20;;720.0;16;🟢 No Prazo
CALDEIRA;VENTILADOR AR PRIMÁRIO DAMPER;30;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-18;2026-03-20;;720.0;16;🟢 No Prazo
CALDEIRA;VENTILADOR AR SECUNDÁRIO ROTOR;30;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-18;2026-03-20;;720.0;16;🟢 No Prazo
CALDEIRA;VENTILADOR AR SECUNDÁRIO DAMPER;30;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-18;2026-03-20;;720.0;16;🟢 No Prazo
CALDEIRA;MANCAIS DO GRELHADO;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-02-18;2026-03-05;;360.0;1;🟢 No Prazo
CALDEIRA;REDLER EXTRAÇÃO CINZA;30;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-18;2026-03-20;;720.0;16;🟢 No Prazo
CALDEIRA;ROSCA EXTRAÇÃO CINZA EIXO;30;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-18;2026-03-20;;720.0;16;🟢 No Prazo
